Date,Time,Temperature,Humidity
05/04/19,05:47,22.3,50.6
05/04/19,05:48,22.2,50.4
05/04/19,05:48,22.2,50.6
05/04/19,05:49,22.2,50.4
05/04/19,05:49,22.2,50.4
05/04/19,05:50,22.2,50.3
05/04/19,05:50,22.2,50.3
05/04/19,05:51,22.2,50.2
